X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
0.400946,1.71428
0.400949,2.08655
0.400952,2.54675
0.400955,3.02849
0.400958,3.45873
0.400962,3.76822
0.400965,3.90717
0.400968,3.85629
0.400971,3.62708
0.400974,3.25577
0.400977,2.79653
0.40098,2.31576
0.400983,1.88651
0.400987,1.57801
0.40099,1.44005
0.400993,1.4919
0.400996,1.72207
0.400999,2.09434
0.401002,2.55455
0.401005,3.03629
0.401008,3.46652
0.401012,3.77602
0.401015,3.91496
0.401018,3.86409
0.401021,3.63487
0.401024,3.26356
0.401027,2.80432
0.40103,2.32356
0.401033,1.89431
0.401037,1.5858
0.40104,1.44784
0.401043,1.49969
0.401046,1.72987
0.401049,2.10213
0.401052,2.56234
0.401055,3.04408
0.401058,3.47431
0.401062,3.7838
0.401065,3.92275
0.401068,3.87187
0.401071,3.64266
0.401074,3.27135
0.401077,2.81211
0.40108,2.33134
0.401083,1.90209
0.401087,1.59359
0.40109,1.45563
0.401093,1.50747
0.401096,1.73765
0.401099,2.10992
0.401102,2.57012
0.401105,3.05186
0.401108,3.48209
0.401112,3.79159
0.401115,3.93053
0.401118,3.87965
0.401121,3.65044
0.401124,3.27913
0.401127,2.81989
0.40113,2.33912
0.401133,1.90987
0.401137,1.60137
0.40114,1.46341
0.401143,1.51525
0.401146,1.74543
0.401149,2.11769
0.401152,2.57789
0.401155,3.05964
0.401158,3.48987
0.401162,3.79936
0.401165,3.9383
0.401168,3.88743
0.401171,3.65821
0.401174,3.2869
0.401177,2.82766
0.40118,2.34689
0.401183,1.91764
0.401187,1.60914
0.40119,1.47118
0.401193,1.52302
0.401196,1.7532
0.401199,2.12546
0.401202,2.58566
0.401205,3.0674
0.401208,3.49764
0.401212,3.80713
0.401215,3.94607
0.401218,3.8952
0.401221,3.66598
0.401224,3.29467
0.401227,2.83543
0.40123,2.35466
0.401233,1.92541
0.401237,1.6169
0.40124,1.47894
0.401243,1.53079
0.401246,1.76096
0.401249,2.13323
0.401252,2.59343
0.401255,3.07517
0.401258,3.5054
0.401262,3.81489
0.401265,3.95383
0.401268,3.90295
0.401271,3.67374
0.401274,3.30243
0.401277,2.84319
0.40128,2.36242
0.401283,1.93316
0.401287,1.62466
0.40129,1.4867
0.401293,1.53854
0.401296,1.76871
0.401299,2.14098
0.401302,2.60118
0.401305,3.08292
0.401308,3.51315
0.401312,3.82264
0.401315,3.96158
0.401318,3.91071
0.401321,3.68149
0.401324,3.31018
0.401327,2.85094
0.40133,2.37017
0.401333,1.94091
0.401337,1.63241
0.40134,1.49444
0.401343,1.54629
0.401346,1.77646
0.401349,2.14873
0.401352,2.60893
0.401355,3.09066
0.401358,3.5209
0.401362,3.83039
0.401365,3.96933
0.401368,3.91845
0.401371,3.68923
0.401374,3.31792
0.401377,2.85868
0.40138,2.37791
0.401383,1.94865
0.401387,1.64015
0.40139,1.50218
0.401393,1.55403
0.401396,1.7842
0.401399,2.15647
0.401402,2.61666
0.401405,3.0984
0.401408,3.52863
0.401412,3.83812
0.401415,3.97706
0.401418,3.92619
0.401421,3.69697
0.401424,3.32566
0.401427,2.86641
0.40143,2.38564
0.401433,1.95639
0.401437,1.64788
0.40144,1.50992
0.401443,1.56176
0.401446,1.79193
0.401449,2.1642
0.401452,2.62439
0.401455,3.10613
0.401458,3.53636
0.401462,3.84585
0.401465,3.98479
0.401468,3.93391
0.401471,3.7047
0.401474,3.33338
0.401477,2.87414
0.40148,2.39337
0.401483,1.96411
0.401487,1.6556
0.40149,1.51764
0.401493,1.56948
0.401496,1.79965
0.401499,2.17192
0.401502,2.63211
0.401505,3.11385
0.401508,3.54408
0.401512,3.85357
0.401515,3.99251
0.401518,3.94163
0.401521,3.71241
0.401524,3.3411
0.401527,2.88185
0.40153,2.40108
0.401533,1.97183
0.401537,1.66332
0.40154,1.52535
0.401543,1.57719
0.401546,1.80737
0.401549,2.17963
0.401552,2.63983
0.401555,3.12156
0.401558,3.55179
