X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
2.39998,-0.548699
2.39998,-2.40879
2.39998,-3.90217
2.39999,-4.80148
2.39999,-4.9698
2.39999,-4.38152
2.39999,-3.12619
2.4,-1.39493
2.4,0.548699
2.4,2.40879
2.40001,3.90217
2.40001,4.80148
2.40001,4.9698
2.40002,4.38152
2.40002,3.12619
2.40002,1.39493
2.40003,-0.548699
2.40003,-2.40879
2.40003,-3.90217
2.40004,-4.80148
2.40004,-4.9698
2.40004,-4.38152
2.40004,-3.12619
2.40005,-1.39493
2.40005,0.548699
2.40005,2.40879
2.40006,3.90217
2.40006,4.80148
2.40006,4.9698
2.40007,4.38152
2.40007,3.12619
2.40007,1.39493
2.40008,-0.548699
2.40008,-2.40879
2.40008,-3.90217
2.40009,-4.80148
2.40009,-4.9698
2.40009,-4.38152
2.40009,-3.12619
2.4001,-1.39493
2.4001,0.548699
2.4001,2.40879
2.40011,3.90217
2.40011,4.80148
2.40011,4.9698
2.40012,4.38152
2.40012,3.12619
2.40012,1.39493
2.40013,-0.548699
2.40013,-2.40879
2.40013,-3.90217
2.40014,-4.80148
2.40014,-4.9698
2.40014,-4.38152
2.40014,-3.12619
2.40015,-1.39493
2.40015,0.548699
2.40015,2.40879
2.40016,3.90217
2.40016,4.80148
2.40016,4.9698
2.40017,4.38152
2.40017,3.12619
2.40017,1.39493
2.40018,-0.548699
2.40018,-2.40879
2.40018,-3.90217
2.40019,-4.80148
2.40019,-4.9698
2.40019,-4.38152
2.40019,-3.12619
2.4002,-1.39493
2.4002,0.548699
2.4002,2.40879
2.40021,3.90217
2.40021,4.80148
2.40021,4.9698
2.40022,4.38152
2.40022,3.12619
2.40022,1.39493
2.40023,-0.548699
2.40023,-2.40879
2.40023,-3.90217
2.40024,-4.80148
2.40024,-4.9698
2.40024,-4.38152
2.40024,-3.12619
2.40025,-1.39493
2.40025,0.548699
2.40025,2.40879
2.40026,3.90217
2.40026,4.80148
2.40026,4.9698
2.40027,4.38152
2.40027,3.12619
2.40027,1.39493
2.40028,-0.548699
2.40028,-2.40879
2.40028,-3.90217
2.40029,-4.80148
2.40029,-4.9698
2.40029,-4.38152
2.40029,-3.12619
2.4003,-1.39493
2.4003,0.548699
2.4003,2.40879
2.40031,3.90217
2.40031,4.80148
2.40031,4.9698
2.40032,4.38152
2.40032,3.12619
2.40032,1.39493
2.40033,-0.548699
2.40033,-2.40879
2.40033,-3.90217
2.40034,-4.80148
2.40034,-4.9698
2.40034,-4.38152
2.40034,-3.12619
2.40035,-1.39493
2.40035,0.548699
2.40035,2.40879
2.40036,3.90217
2.40036,4.80148
2.40036,4.9698
2.40037,4.38152
2.40037,3.12619
2.40037,1.39493
2.40038,-0.548699
2.40038,-2.40879
2.40038,-3.90217
2.40039,-4.80148
2.40039,-4.9698
2.40039,-4.38152
2.40039,-3.12619
2.4004,-1.39493
2.4004,0.548699
2.4004,2.40879
2.40041,3.90217
2.40041,4.80148
2.40041,4.9698
2.40042,4.38152
2.40042,3.12619
2.40042,1.39493
2.40043,-0.548699
2.40043,-2.40879
2.40043,-3.90217
2.40044,-4.80148
2.40044,-4.9698
2.40044,-4.38152
2.40044,-3.12619
2.40045,-1.39493
2.40045,0.548699
2.40045,2.40879
2.40046,3.90217
2.40046,4.80148
2.40046,4.9698
2.40047,4.38152
2.40047,3.12619
2.40047,1.39493
2.40048,-0.548699
2.40048,-2.40879
2.40048,-3.90217
2.40049,-4.80148
2.40049,-4.9698
2.40049,-4.38152
2.40049,-3.12619
2.4005,-1.39493
2.4005,0.548699
2.4005,2.40879
2.40051,3.90217
2.40051,4.80148
2.40051,4.9698
2.40052,4.38152
2.40052,3.12619
2.40052,1.39493
2.40053,-0.548699
2.40053,-2.40879
2.40053,-3.90217
2.40054,-4.80148
2.40054,-4.9698
2.40054,-4.38152
2.40054,-3.12619
2.40055,-1.39493
2.40055,0.548699
