X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
1.60184,3.12621
1.60185,1.39496
1.60185,-0.548671
1.60186,-2.40877
1.60186,-3.90215
1.60187,-4.80147
1.60188,-4.9698
1.60188,-4.38153
1.60189,-3.12621
1.6019,-1.39496
1.6019,0.548671
1.60191,2.40877
1.60191,3.90215
1.60192,4.80147
1.60193,4.9698
1.60193,4.38153
1.60194,3.12621
1.60195,1.39496
1.60195,-0.548671
1.60196,-2.40877
1.60196,-3.90215
1.60197,-4.80147
1.60198,-4.9698
1.60198,-4.38153
1.60199,-3.12621
1.602,-1.39496
1.602,0.548671
1.60201,2.40877
1.60201,3.90215
1.60202,4.80147
1.60203,4.9698
1.60203,4.38153
1.60204,3.12621
1.60205,1.39496
1.60205,-0.548671
1.60206,-2.40877
1.60206,-3.90215
1.60207,-4.80147
1.60208,-4.9698
1.60208,-4.38153
1.60209,-3.12621
1.6021,-1.39496
1.6021,0.548671
1.60211,2.40877
1.60211,3.90215
1.60212,4.80147
1.60213,4.9698
1.60213,4.38153
1.60214,3.12621
1.60215,1.39496
1.60215,-0.548671
1.60216,-2.40877
1.60216,-3.90215
1.60217,-4.80147
1.60218,-4.9698
1.60218,-4.38153
1.60219,-3.12621
1.6022,-1.39496
1.6022,0.548671
1.60221,2.40877
1.60221,3.90215
1.60222,4.80147
1.60223,4.9698
1.60223,4.38153
1.60224,3.12621
1.60225,1.39496
1.60225,-0.548671
1.60226,-2.40877
1.60226,-3.90215
1.60227,-4.80147
1.60228,-4.9698
1.60228,-4.38153
1.60229,-3.12621
1.6023,-1.39496
1.6023,0.548671
1.60231,2.40877
1.60231,3.90215
1.60232,4.80147
1.60233,4.9698
1.60233,4.38153
1.60234,3.12621
1.60235,1.39496
1.60235,-0.548671
1.60236,-2.40877
1.60236,-3.90215
1.60237,-4.80147
1.60238,-4.9698
1.60238,-4.38153
1.60239,-3.12621
1.6024,-1.39496
1.6024,0.548671
1.60241,2.40877
1.60241,3.90215
1.60242,4.80147
1.60243,4.9698
1.60243,4.38153
1.60244,3.12621
1.60245,1.39496
1.60245,-0.548671
1.60246,-2.40877
1.60246,-3.90215
1.60247,-4.80147
1.60248,-4.9698
1.60248,-4.38153
1.60249,-3.12621
1.6025,-1.39496
1.6025,0.548671
1.60251,2.40877
1.60251,3.90215
1.60252,4.80147
1.60253,4.9698
1.60253,4.38153
1.60254,3.12621
1.60255,1.39496
1.60255,-0.548671
1.60256,-2.40877
1.60256,-3.90215
1.60257,-4.80147
1.60258,-4.9698
1.60258,-4.38153
1.60259,-3.12621
