X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
0,0
6.25e-007,0.0196349
1.25e-006,0.0392695
2.5e-006,0.0785366
5e-006,0.157054
1e-005,0.313953
2e-005,0.626666
4e-005,1.24345
8e-005,2.40877
0.0001425,3.90215
0.000205,4.80147
0.0002675,4.9698
0.00033,4.38153
0.0003925,3.12621
0.000455,1.39496
0.0005175,-0.548672
0.00058,-2.40877
0.0006425,-3.90215
0.000705,-4.80147
0.0007675,-4.9698
0.00083,-4.38153
0.0008925,-3.12621
0.000955,-1.39496
0.0010175,0.548672
0.00108,2.40877
0.0011425,3.90215
0.001205,4.80147
0.0012675,4.9698
0.00133,4.38153
0.0013925,3.12621
0.001455,1.39496
0.0015175,-0.548672
0.00158,-2.40877
0.0016425,-3.90215
0.001705,-4.80147
0.0017675,-4.9698
0.00183,-4.38153
0.0018925,-3.12621
0.001955,-1.39496
0.0020175,0.548672
0.00208,2.40877
0.0021425,3.90215
0.002205,4.80147
0.0022675,4.9698
0.00233,4.38153
0.0023925,3.12621
0.002455,1.39496
0.0025175,-0.548672
0.00258,-2.40877
0.0026425,-3.90215
0.002705,-4.80147
0.0027675,-4.9698
0.00283,-4.38153
0.0028925,-3.12621
0.002955,-1.39496
0.0030175,0.548672
0.00308,2.40877
0.0031425,3.90215
0.003205,4.80147
0.0032675,4.9698
0.00333,4.38153
0.0033925,3.12621
0.003455,1.39496
0.0035175,-0.548672
0.00358,-2.40877
0.0036425,-3.90215
0.003705,-4.80147
0.0037675,-4.9698
0.00383,-4.38153
0.0038925,-3.12621
0.003955,-1.39496
0.0040175,0.548672
0.00408,2.40877
0.0041425,3.90215
0.004205,4.80147
0.0042675,4.9698
0.00433,4.38153
0.0043925,3.12621
0.004455,1.39496
0.0045175,-0.548672
0.00458,-2.40877
0.0046425,-3.90215
0.004705,-4.80147
0.0047675,-4.9698
0.00483,-4.38153
0.0048925,-3.12621
0.004955,-1.39496
0.0050175,0.548672
0.00508,2.40877
0.0051425,3.90215
0.005205,4.80147
0.0052675,4.9698
0.00533,4.38153
0.0053925,3.12621
0.005455,1.39496
0.0055175,-0.548672
0.00558,-2.40877
0.0056425,-3.90215
0.005705,-4.80147
0.0057675,-4.9698
0.00583,-4.38153
0.0058925,-3.12621
0.005955,-1.39496
0.0060175,0.548672
0.00608,2.40877
0.0061425,3.90215
0.006205,4.80147
0.0062675,4.9698
0.00633,4.38153
0.0063925,3.12621
0.006455,1.39496
0.0065175,-0.548672
0.00658,-2.40877
0.0066425,-3.90215
0.006705,-4.80147
0.0067675,-4.9698
0.00683,-4.38153
0.0068925,-3.12621
0.006955,-1.39496
0.0070175,0.548672
0.00708,2.40877
0.0071425,3.90215
0.007205,4.80147
0.0072675,4.9698
0.00733,4.38153
0.0073925,3.12621
0.007455,1.39496
0.0075175,-0.548672
0.00758,-2.40877
0.0076425,-3.90215
0.007705,-4.80147
0.0077675,-4.9698
0.00783,-4.38153
0.0078925,-3.12621
0.007955,-1.39496
0.0080175,0.548672
0.00808,2.40877
0.0081425,3.90215
0.008205,4.80147
0.0082675,4.9698
0.00833,4.38153
0.0083925,3.12621
0.008455,1.39496
0.0085175,-0.548672
0.00858,-2.40877
0.0086425,-3.90215
0.008705,-4.80147
0.0087675,-4.9698
0.00883,-4.38153
0.0088925,-3.12621
0.008955,-1.39496
0.0090175,0.548672
0.00908,2.40877
0.0091425,3.90215
0.009205,4.80147
0.0092675,4.9698
0.00933,4.38153
0.0093925,3.12621
0.009455,1.39496
0.0095175,-0.548672
0.00958,-2.40877
0.0096425,-3.90215
0.009705,-4.80147
0.0097675,-4.9698
0.00983,-4.38153
0.0098925,-3.12621
0.009955,-1.39496
0.0100175,0.548672
0.01008,2.40877
0.0101425,3.90215
0.010205,4.80147
0.0102675,4.9698
0.01033,4.38153
0.0103925,3.12621
0.010455,1.39496
0.0105175,-0.548672
0.01058,-2.40877
0.0106425,-3.90215
0.010705,-4.80147
0.0107675,-4.9698
0.01083,-4.38153
0.0108925,-3.12621
0.010955,-1.39496
0.0110175,0.548672
0.01108,2.40877
0.0111425,3.90215
0.011205,4.80147
0.0112675,4.9698
0.01133,4.38153
0.0113925,3.12621
0.011455,1.39496
0.0115175,-0.548672
0.01158,-2.40877
0.0116425,-3.90215
0.011705,-4.80147
0.0117675,-4.9698
0.01183,-4.38153
0.0118925,-3.12621
0.011955,-1.39496
0.0120175,0.548672
0.01208,2.40877
0.0121425,3.90215
0.012205,4.80147
0.0122675,4.9698
0.01233,4.38153
0.0123925,3.12621
0.012455,1.39496
0.0125175,-0.548672
0.01258,-2.40877
0.0126425,-3.90215
0.012705,-4.80147
0.0127675,-4.9698
0.01283,-4.38153
0.0128925,-3.12621
0.012955,-1.39496
0.0130175,0.548672
0.01308,2.40877
0.0131425,3.90215
0.013205,4.80147
0.0132675,4.9698
0.01333,4.38153
0.0133925,3.12621
0.013455,1.39496
0.0135175,-0.548672
0.01358,-2.40877
0.0136425,-3.90215
0.013705,-4.80147
0.0137675,-4.9698
0.01383,-4.38153
0.0138925,-3.12621
0.013955,-1.39496
0.0140175,0.548672
0.01408,2.40877
0.0141425,3.90215
0.014205,4.80147
0.0142675,4.9698
0.01433,4.38153
0.0143925,3.12621
0.014455,1.39496
0.0145175,-0.548672
0.01458,-2.40877
0.0146425,-3.90215
0.014705,-4.80147
0.0147675,-4.9698
0.01483,-4.38153
0.0148925,-3.12621
0.014955,-1.39496
0.0150175,0.548672
0.01508,2.40877
0.0151425,3.90215
0.015205,4.80147
0.0152675,4.9698
0.01533,4.38153
0.0153925,3.12621
0.015455,1.39496
0.0155175,-0.548672
0.01558,-2.40877
0.0156425,-3.90215
0.015705,-4.80147
0.0157675,-4.9698
0.01583,-4.38153
0.0158925,-3.12621
0.015955,-1.39496
0.0160175,0.548672
0.01608,2.40877
0.0161425,3.90215
0.016205,4.80147
0.0162675,4.9698
0.01633,4.38153
0.0163925,3.12621
0.016455,1.39496
0.0165175,-0.548672
0.01658,-2.40877
0.0166425,-3.90215
0.016705,-4.80147
0.0167675,-4.9698
0.01683,-4.38153
0.0168925,-3.12621
0.016955,-1.39496
0.0170175,0.548672
0.01708,2.40877
0.0171425,3.90215
0.017205,4.80147
0.0172675,4.9698
0.01733,4.38153
0.0173925,3.12621
0.017455,1.39496
0.0175175,-0.548672
0.01758,-2.40877
0.0176425,-3.90215
0.017705,-4.80147
0.0177675,-4.9698
0.01783,-4.38153
0.0178925,-3.12621
0.017955,-1.39496
0.0180175,0.548672
0.01808,2.40877
0.0181425,3.90215
0.018205,4.80147
0.0182675,4.9698
0.01833,4.38153
0.0183925,3.12621
0.018455,1.39496
0.0185175,-0.548672
0.01858,-2.40877
0.0186425,-3.90215
0.018705,-4.80147
0.0187675,-4.9698
0.01883,-4.38153
0.0188925,-3.12621
0.018955,-1.39496
0.0190175,0.548672
0.01908,2.40877
0.0191425,3.90215
0.019205,4.80147
0.0192675,4.9698
0.01933,4.38153
0.0193925,3.12621
0.019455,1.39496
0.0195175,-0.548672
0.01958,-2.40877
0.0196425,-3.90215
0.019705,-4.80147
0.0197675,-4.9698
0.01983,-4.38153
0.0198925,-3.12621
0.019955,-1.39496
0.0200175,0.548672
0.02008,2.40877
0.0201425,3.90215
0.020205,4.80147
0.0202675,4.9698
0.02033,4.38153
0.0203925,3.12621
0.020455,1.39496
0.0205175,-0.548672
0.02058,-2.40877
0.0206425,-3.90215
0.020705,-4.80147
0.0207675,-4.9698
0.02083,-4.38153
0.0208925,-3.12621
0.020955,-1.39496
0.0210175,0.548672
0.02108,2.40877
0.0211425,3.90215
0.021205,4.80147
0.0212675,4.9698
0.02133,4.38153
0.0213925,3.12621
0.021455,1.39496
0.0215175,-0.548672
0.02158,-2.40877
0.0216425,-3.90215
0.021705,-4.80147
0.0217675,-4.9698
0.02183,-4.38153
0.0218925,-3.12621
0.021955,-1.39496
0.0220175,0.548672
0.02208,2.40877
0.0221425,3.90215
0.022205,4.80147
0.0222675,4.9698
0.02233,4.38153
0.0223925,3.12621
0.022455,1.39496
0.0225175,-0.548672
0.02258,-2.40877
0.0226425,-3.90215
0.022705,-4.80147
0.0227675,-4.9698
0.02283,-4.38153
0.0228925,-3.12621
0.022955,-1.39496
0.0230175,0.548672
0.02308,2.40877
0.0231425,3.90215
0.023205,4.80147
0.0232675,4.9698
0.02333,4.38153
0.0233925,3.12621
0.023455,1.39496
0.0235175,-0.548672
0.02358,-2.40877
0.0236425,-3.90215
0.023705,-4.80147
0.0237675,-4.9698
0.02383,-4.38153
0.0238925,-3.12621
0.023955,-1.39496
0.0240175,0.548672
0.02408,2.40877
0.0241425,3.90215
0.024205,4.80147
0.0242675,4.9698
0.02433,4.38153
0.0243925,3.12621
0.024455,1.39496
0.0245175,-0.548672
0.02458,-2.40877
0.0246425,-3.90215
0.024705,-4.80147
0.0247675,-4.9698
0.02483,-4.38153
0.0248925,-3.12621
0.024955,-1.39496
0.0250175,0.548672
0.02508,2.40877
0.0251425,3.90215
0.025205,4.80147
0.0252675,4.9698
0.02533,4.38153
0.0253925,3.12621
0.025455,1.39496
0.0255175,-0.548672
0.02558,-2.40877
0.0256425,-3.90215
0.025705,-4.80147
0.0257675,-4.9698
0.02583,-4.38153
0.0258925,-3.12621
0.025955,-1.39496
0.0260175,0.548672
0.02608,2.40877
0.0261425,3.90215
0.026205,4.80147
0.0262675,4.9698
0.02633,4.38153
0.0263925,3.12621
0.026455,1.39496
0.0265175,-0.548672
0.02658,-2.40877
0.0266425,-3.90215
0.026705,-4.80147
0.0267675,-4.9698
0.02683,-4.38153
0.0268925,-3.12621
0.026955,-1.39496
0.0270175,0.548672
0.02708,2.40877
0.0271425,3.90215
0.027205,4.80147
0.0272675,4.9698
0.02733,4.38153
0.0273925,3.12621
0.027455,1.39496
0.0275175,-0.548672
0.02758,-2.40877
0.0276425,-3.90215
0.027705,-4.80147
0.0277675,-4.9698
0.02783,-4.38153
0.0278925,-3.12621
0.027955,-1.39496
0.0280175,0.548672
0.02808,2.40877
0.0281425,3.90215
0.028205,4.80147
0.0282675,4.9698
0.02833,4.38153
0.0283925,3.12621
0.028455,1.39496
0.0285175,-0.548672
0.02858,-2.40877
0.0286425,-3.90215
0.028705,-4.80147
0.0287675,-4.9698
0.02883,-4.38153
0.0288925,-3.12621
0.028955,-1.39496
0.0290175,0.548672
0.02908,2.40877
0.0291425,3.90215
0.029205,4.80147
0.0292675,4.9698
0.02933,4.38153
0.0293925,3.12621
0.029455,1.39496
0.0295175,-0.548672
0.02958,-2.40877
0.0296425,-3.90215
0.029705,-4.80147
0.0297675,-4.9698
0.02983,-4.38153
0.0298925,-3.12621
0.029955,-1.39496
0.0300175,0.548672
0.03008,2.40877
0.0301425,3.90215
0.030205,4.80147
0.0302675,4.9698
0.03033,4.38153
0.0303925,3.12621
0.030455,1.39496
0.0305175,-0.548672
0.03058,-2.40877
0.0306425,-3.90215
0.030705,-4.80147
0.0307675,-4.9698
0.03083,-4.38153
0.0308925,-3.12621
0.030955,-1.39496
0.0310175,0.548672
0.03108,2.40877
0.0311425,3.90215
0.031205,4.80147
0.0312675,4.9698
0.03133,4.38153
0.0313925,3.12621
0.031455,1.39496
0.0315175,-0.548672
0.03158,-2.40877
0.0316425,-3.90215
0.031705,-4.80147
0.0317675,-4.9698
0.03183,-4.38153
0.0318925,-3.12621
0.031955,-1.39496
0.0320175,0.548672
0.03208,2.40877
0.0321425,3.90215
0.032205,4.80147
0.0322675,4.9698
0.03233,4.38153
0.0323925,3.12621
0.032455,1.39496
0.0325175,-0.548672
0.03258,-2.40877
0.0326425,-3.90215
0.032705,-4.80147
0.0327675,-4.9698
0.03283,-4.38153
0.0328925,-3.12621
0.032955,-1.39496
0.0330175,0.548672
0.03308,2.40877
0.0331425,3.90215
0.033205,4.80147
0.0332675,4.9698
0.03333,4.38153
0.0333925,3.12621
0.033455,1.39496
0.0335175,-0.548672
0.03358,-2.40877
0.0336425,-3.90215
0.033705,-4.80147
0.0337675,-4.9698
0.03383,-4.38153
0.0338925,-3.12621
0.033955,-1.39496
0.0340175,0.548672
0.03408,2.40877
0.0341425,3.90215
0.034205,4.80147
0.0342675,4.9698
0.03433,4.38153
0.0343925,3.12621
0.034455,1.39496
0.0345175,-0.548672
0.03458,-2.40877
0.0346425,-3.90215
0.034705,-4.80147
0.0347675,-4.9698
0.03483,-4.38153
0.0348925,-3.12621
0.034955,-1.39496
0.0350175,0.548672
0.03508,2.40877
0.0351425,3.90215
0.035205,4.80147
0.0352675,4.9698
0.03533,4.38153
0.0353925,3.12621
0.035455,1.39496
0.0355175,-0.548672
0.03558,-2.40877
0.0356425,-3.90215
0.035705,-4.80147
0.0357675,-4.9698
0.03583,-4.38153
0.0358925,-3.12621
0.035955,-1.39496
0.0360175,0.548672
0.03608,2.40877
0.0361425,3.90215
0.036205,4.80147
0.0362675,4.9698
0.03633,4.38153
0.0363925,3.12621
0.036455,1.39496
0.0365175,-0.548672
0.03658,-2.40877
0.0366425,-3.90215
0.036705,-4.80147
0.0367675,-4.9698
0.03683,-4.38153
0.0368925,-3.12621
0.036955,-1.39496
0.0370175,0.548672
0.03708,2.40877
0.0371425,3.90215
0.037205,4.80147
0.0372675,4.9698
0.03733,4.38153
0.0373925,3.12621
0.037455,1.39496
0.0375175,-0.548672
0.03758,-2.40877
0.0376425,-3.90215
0.037705,-4.80147
0.0377675,-4.9698
0.03783,-4.38153
0.0378925,-3.12621
0.037955,-1.39496
0.0380175,0.548672
0.03808,2.40877
0.0381425,3.90215
0.038205,4.80147
0.0382675,4.9698
0.03833,4.38153
0.0383925,3.12621
0.038455,1.39496
0.0385175,-0.548672
0.03858,-2.40877
0.0386425,-3.90215
0.038705,-4.80147
0.0387675,-4.9698
0.03883,-4.38153
0.0388925,-3.12621
0.038955,-1.39496
0.0390175,0.548672
0.03908,2.40877
0.0391425,3.90215
0.039205,4.80147
0.0392675,4.9698
0.03933,4.38153
0.0393925,3.12621
0.039455,1.39496
0.0395175,-0.548672
0.03958,-2.40877
0.0396425,-3.90215
0.039705,-4.80147
0.0397675,-4.9698
0.03983,-4.38153
0.0398925,-3.12621
0.039955,-1.39496
0.0400175,0.548672
0.04008,2.40877
0.0401425,3.90215
0.040205,4.80147
0.0402675,4.9698
