X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.0164726,0.998784,,0.0164726,-0.0562728
0.0164732,0.903892,,0.0164732,-0.0489286
0.0164738,0.671391,,0.0164738,-0.0339894
0.0164745,0.336677,,0.0164745,-0.0137299
0.0164751,-0.0492939,,0.0164751,0.00876798
0.0164757,-0.42776,,0.0164757,0.0300806
0.0164763,-0.741103,,0.0164763,0.046961
0.016477,-0.94162,,0.016477,0.0568365
0.0164776,-0.998784,,0.0164776,0.058205
0.0164782,-0.903892,,0.0164782,0.0508626
0.0164788,-0.671391,,0.0164788,0.0359305
0.0164795,-0.336677,,0.0164795,0.0156792
0.0164801,0.0492939,,0.0164801,-0.00681434
0.0164807,0.42776,,0.0164807,-0.0281289
0.0164813,0.741103,,0.0164813,-0.0450164
0.016482,0.94162,,0.016482,-0.0549
0.0164826,0.998784,,0.0164826,-0.0562728
0.0164832,0.903892,,0.0164832,-0.0489286
0.0164838,0.671391,,0.0164838,-0.0339894
0.0164845,0.336677,,0.0164845,-0.0137299
0.0164851,-0.0492939,,0.0164851,0.00876798
0.0164857,-0.42776,,0.0164857,0.0300806
0.0164863,-0.741103,,0.0164863,0.046961
0.016487,-0.94162,,0.016487,0.0568365
0.0164876,-0.998784,,0.0164876,0.058205
0.0164882,-0.903892,,0.0164882,0.0508626
0.0164888,-0.671391,,0.0164888,0.0359305
0.0164895,-0.336677,,0.0164895,0.0156792
0.0164901,0.0492939,,0.0164901,-0.00681434
0.0164907,0.42776,,0.0164907,-0.0281289
0.0164913,0.741103,,0.0164913,-0.0450164
0.016492,0.94162,,0.016492,-0.0549
0.0164926,0.998784,,0.0164926,-0.0562728
0.0164932,0.903892,,0.0164932,-0.0489286
0.0164938,0.671391,,0.0164938,-0.0339894
0.0164945,0.336677,,0.0164945,-0.0137299
0.0164951,-0.0492939,,0.0164951,0.00876798
0.0164957,-0.42776,,0.0164957,0.0300806
0.0164963,-0.741103,,0.0164963,0.046961
0.016497,-0.94162,,0.016497,0.0568365
0.0164976,-0.998784,,0.0164976,0.058205
