X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,0,,0,0.000965641
1.25e-008,0.00392698,,1.25e-008,0.000999447
2.5e-008,0.0078539,,2.5e-008,0.00103163
5e-008,0.0157073,,5e-008,0.00109289
1e-007,0.0314108,,1e-007,0.00119862
2e-007,0.0627905,,2e-007,0.00135802
4e-007,0.125333,,4e-007,0.00155973
6.36523e-007,0.19864,,6.36523e-007,0.00174924
8.8075e-007,0.273179,,8.8075e-007,0.00205315
1.13134e-006,0.347984,,1.13134e-006,0.00261415
1.39923e-006,0.425561,,1.39923e-006,0.00361878
1.84913e-006,0.548794,,1.84913e-006,0.00658097
2.59734e-006,0.728397,,2.59734e-006,0.0161233
3.84734e-006,0.935149,,3.84734e-006,0.0481456
5.09734e-006,0.999532,,5.09734e-006,0.101985
6.34734e-006,0.911746,,6.34734e-006,0.175436
7.59734e-006,0.685155,,7.59734e-006,0.261437
8.84734e-006,0.354255,,8.84734e-006,0.34942
1.00973e-005,-0.0305769,,1.00973e-005,0.427141
1.13473e-005,-0.410754,,1.13473e-005,0.48278
1.25973e-005,-0.728397,,1.25973e-005,0.506975
1.38473e-005,-0.935149,,1.38473e-005,0.49447
1.50973e-005,-0.999532,,1.50973e-005,0.445069
1.63473e-005,-0.911746,,1.63473e-005,0.363777
1.75973e-005,-0.685155,,1.75973e-005,0.260136
1.88473e-005,-0.354255,,1.88473e-005,0.146902
2.00973e-005,0.0305769,,2.00973e-005,0.0382497
2.13473e-005,0.410754,,2.13473e-005,-0.0522775
2.25973e-005,0.728397,,2.25973e-005,-0.113801
2.38473e-005,0.935149,,2.38473e-005,-0.139763
2.50973e-005,0.999532,,2.50973e-005,-0.128902
2.63473e-005,0.911746,,2.63473e-005,-0.0853934
2.75973e-005,0.685155,,2.75973e-005,-0.0181578
2.88473e-005,0.354255,,2.88473e-005,0.0605057
3.00973e-005,-0.0305769,,3.00973e-005,0.136768
3.13473e-005,-0.410754,,3.13473e-005,0.197355
3.25973e-005,-0.728397,,3.25973e-005,0.231583
3.38473e-005,-0.935149,,3.38473e-005,0.233005
3.50973e-005,-0.999532,,3.50973e-005,0.200378
3.63473e-005,-0.911746,,3.63473e-005,0.137808
3.75973e-005,-0.685155,,3.75973e-005,0.0540847
3.88473e-005,-0.354255,,3.88473e-005,-0.0386632
4.00973e-005,0.0305769,,4.00973e-005,-0.126784
4.13473e-005,0.410754,,4.13473e-005,-0.197177
4.25973e-005,0.728397,,4.25973e-005,-0.239324
4.38473e-005,0.935149,,4.38473e-005,-0.246947
4.50973e-005,0.999532,,4.50973e-005,-0.218983
4.63473e-005,0.911746,,4.63473e-005,-0.159732
4.75973e-005,0.685155,,4.75973e-005,-0.0781808
4.88473e-005,0.354255,,4.88473e-005,0.0133505
5.00973e-005,-0.0305769,,5.00973e-005,0.10104
5.13473e-005,-0.410754,,5.13473e-005,0.171643
5.25973e-005,-0.728397,,5.25973e-005,0.214528
5.38473e-005,-0.935149,,5.38473e-005,0.223316
5.50973e-005,-0.999532,,5.50973e-005,0.196856
5.63473e-005,-0.911746,,5.63473e-005,0.139352
5.75973e-005,-0.685155,,5.75973e-005,0.0597011
5.88473e-005,-0.354255,,5.88473e-005,-0.0298629
6.00973e-005,0.0305769,,6.00973e-005,-0.115587
6.13473e-005,0.410754,,6.13473e-005,-0.184273
6.25973e-005,0.728397,,6.25973e-005,-0.225309
