X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0.000735296,0.797953,,0.000735296,1.53483
0.000741546,0.506561,,0.000741546,1.50396
0.000747796,0.13805,,0.000747796,1.24436
0.000754046,-0.251477,,0.000754046,0.795624
0.000760296,-0.60272,,0.000760296,0.225969
0.000766546,-0.862204,,0.000766546,-0.378034
0.000772796,-0.990425,,0.000772796,-0.924454
0.000779046,-0.967863,,0.000779046,-1.33005
0.000785296,-0.797953,,0.000785296,-1.53292
0.000791546,-0.506561,,0.000791546,-1.50216
0.000797796,-0.13805,,0.000797796,-1.24257
0.000804046,0.251477,,0.000804046,-0.793709
0.000810296,0.60272,,0.000810296,-0.223878
0.000816546,0.862204,,0.000816546,0.380252
0.000822796,0.990425,,0.000822796,0.926675
0.000829046,0.967863,,0.000829046,1.33214
0.000835296,0.797953,,0.000835296,1.53483
0.000841546,0.506561,,0.000841546,1.50396
0.000847796,0.13805,,0.000847796,1.24436
0.000854046,-0.251477,,0.000854046,0.795624
0.000860296,-0.60272,,0.000860296,0.225969
0.000866546,-0.862204,,0.000866546,-0.378034
0.000872796,-0.990425,,0.000872796,-0.924454
0.000879046,-0.967863,,0.000879046,-1.33005
0.000885296,-0.797953,,0.000885296,-1.53292
0.000891546,-0.506561,,0.000891546,-1.50216
0.000897796,-0.13805,,0.000897796,-1.24257
0.000904046,0.251477,,0.000904046,-0.793709
0.000910296,0.60272,,0.000910296,-0.223878
0.000916546,0.862204,,0.000916546,0.380251
0.000922796,0.990425,,0.000922796,0.926675
0.000929046,0.967863,,0.000929046,1.33214
0.000935296,0.797953,,0.000935296,1.53483
0.000941546,0.506561,,0.000941546,1.50396
0.000947796,0.13805,,0.000947796,1.24436
0.000954046,-0.251477,,0.000954046,0.795624
0.000960296,-0.60272,,0.000960296,0.225969
0.000966546,-0.862204,,0.000966546,-0.378034
0.000972796,-0.990425,,0.000972796,-0.924454
0.000979046,-0.967863,,0.000979046,-1.33005
0.000985296,-0.797953,,0.000985296,-1.53292
0.000991546,-0.506561,,0.000991546,-1.50216
0.000997796,-0.13805,,0.000997796,-1.24257
0.00100405,0.251477,,0.00100405,-0.793709
0.0010103,0.60272,,0.0010103,-0.223878
0.00101655,0.862204,,0.00101655,0.380251
0.0010228,0.990425,,0.0010228,0.926675
0.00102905,0.967863,,0.00102905,1.33214
0.0010353,0.797953,,0.0010353,1.53483
0.00104155,0.506561,,0.00104155,1.50396
0.0010478,0.13805,,0.0010478,1.24436
0.00105405,-0.251477,,0.00105405,0.795624
0.0010603,-0.60272,,0.0010603,0.225969
0.00106655,-0.862204,,0.00106655,-0.378034
0.0010728,-0.990425,,0.0010728,-0.924454
0.00107905,-0.967863,,0.00107905,-1.33005
0.0010853,-0.797953,,0.0010853,-1.53292
0.00109155,-0.506561,,0.00109155,-1.50216
0.0010978,-0.13805,,0.0010978,-1.24257
0.00110405,0.251477,,0.00110405,-0.793709
0.0011103,0.60272,,0.0011103,-0.223878
0.00111655,0.862204,,0.00111655,0.380251
0.0011228,0.990425,,0.0011228,0.926675
0.00112905,0.967863,,0.00112905,1.33214
0.0011353,0.797953,,0.0011353,1.53483
0.00114155,0.506561,,0.00114155,1.50396
0.0011478,0.13805,,0.0011478,1.24436
0.00115405,-0.251477,,0.00115405,0.795624
0.0011603,-0.60272,,0.0011603,0.225969
0.00116655,-0.862204,,0.00116655,-0.378034
0.0011728,-0.990425,,0.0011728,-0.924454
0.00117905,-0.967863,,0.00117905,-1.33005
0.0011853,-0.797953,,0.0011853,-1.53292
0.00119155,-0.506561,,0.00119155,-1.50216
0.0011978,-0.13805,,0.0011978,-1.24257
0.00120405,0.251477,,0.00120405,-0.793709
0.0012103,0.60272,,0.0012103,-0.223878
0.00121655,0.862204,,0.00121655,0.380251
0.0012228,0.990425,,0.0012228,0.926675
0.00122905,0.967863,,0.00122905,1.33214
0.0012353,0.797953,,0.0012353,1.53483
0.00124155,0.506561,,0.00124155,1.50396
0.0012478,0.13805,,0.0012478,1.24436
0.00125405,-0.251477,,0.00125405,0.795624
0.0012603,-0.60272,,0.0012603,0.225969
0.00126655,-0.862204,,0.00126655,-0.378034
0.0012728,-0.990425,,0.0012728,-0.924454
0.00127905,-0.967863,,0.00127905,-1.33005
0.0012853,-0.797953,,0.0012853,-1.53292
0.00129155,-0.506561,,0.00129155,-1.50216
0.0012978,-0.13805,,0.0012978,-1.24257
0.00130405,0.251477,,0.00130405,-0.793709
0.0013103,0.60272,,0.0013103,-0.223878
0.00131655,0.862204,,0.00131655,0.380251
0.0013228,0.990425,,0.0013228,0.926675
0.00132905,0.967863,,0.00132905,1.33214
0.0013353,0.797953,,0.0013353,1.53483
0.00134155,0.506561,,0.00134155,1.50396
0.0013478,0.13805,,0.0013478,1.24436
