X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,0,,0,0.000965641
3.125e-008,0.00392698,,3.125e-008,0.000997179
6.25e-008,0.0078539,,6.25e-008,0.0010252
1.25e-007,0.0157073,,1.25e-007,0.00107505
2.5e-007,0.0314108,,2.5e-007,0.0011461
5e-007,0.0627905,,5e-007,0.00123708
8.76323e-007,0.1099,,8.76323e-007,0.00141419
1.2797e-006,0.16012,,1.2797e-006,0.00185856
1.73076e-006,0.215783,,1.73076e-006,0.0028956
2.44223e-006,0.302105,,2.44223e-006,0.00622313
3.54408e-006,0.430785,,3.54408e-006,0.0169399
5.39158e-006,0.626867,,5.39158e-006,0.0547862
8.51658e-006,0.877309,,8.51658e-006,0.183887
1.16416e-005,0.994187,,1.16416e-005,0.387858
1.47666e-005,0.95971,,1.47666e-005,0.635491
1.78916e-005,0.779126,,1.78916e-005,0.877453
2.10166e-005,0.479927,,2.10166e-005,1.05969
2.41416e-005,0.107663,,2.41416e-005,1.13589
2.72666e-005,-0.280991,,2.72666e-005,1.0773
3.03916e-005,-0.626867,,3.03916e-005,0.87853
3.35166e-005,-0.877309,,3.35166e-005,0.55866
3.66416e-005,-0.994187,,3.66416e-005,0.158171
3.97666e-005,-0.95971,,3.97666e-005,-0.267473
4.28916e-005,-0.779126,,4.28916e-005,-0.656627
4.60166e-005,-0.479927,,4.60166e-005,-0.951224
4.91416e-005,-0.107663,,4.91416e-005,-1.10627
5.22666e-005,0.280991,,5.22666e-005,-1.09765
5.53916e-005,0.626867,,5.53916e-005,-0.925974
5.85166e-005,0.877309,,5.85166e-005,-0.61653
6.16416e-005,0.994187,,6.16416e-005,-0.215403
6.47666e-005,0.95971,,6.47666e-005,0.217336
6.78916e-005,0.779126,,6.78916e-005,0.616541
7.10166e-005,0.479927,,7.10166e-005,0.921746
7.41416e-005,0.107663,,7.41416e-005,1.08656
7.72666e-005,-0.280991,,7.72666e-005,1.08615
8.03916e-005,-0.626867,,8.03916e-005,0.920916
8.35166e-005,-0.877309,,8.35166e-005,0.616217
8.66416e-005,-0.994187,,8.66416e-005,0.218298
8.97666e-005,-0.95971,,8.97666e-005,-0.212562
9.28916e-005,-0.779126,,9.28916e-005,-0.611003
9.60166e-005,-0.479927,,9.60166e-005,-0.91628
9.91416e-005,-0.107663,,9.91416e-005,-1.08162
0.000102267,0.280991,,0.000102267,-1.08188
0.000105392,0.626867,,0.000105392,-0.917256
0.000108517,0.877309,,0.000108517,-0.612978
0.000111642,0.994187,,0.000111642,-0.215323
0.000114767,0.95971,,0.000114767,0.21534
0.000117892,0.779126,,0.000117892,0.613534
0.000121017,0.479927,,0.000121017,0.918476
0.000124142,0.107663,,0.000124142,1.08351
0.000127267,-0.280991,,0.000127267,1.08356
0.000130392,-0.626867,,0.000130392,0.918899
0.000133517,-0.877309,,0.000133517,0.614765
0.000136642,-0.994187,,0.000136642,0.217344
0.000139767,-0.95971,,0.000139767,-0.213112
0.000142892,-0.779126,,0.000142892,-0.61125
0.000146017,-0.479927,,0.000146017,-0.916318
0.000149142,-0.107663,,0.000149142,-1.08153
0.000152267,0.280991,,0.000152267,-1.08172
0.000155392,0.626867,,0.000155392,-0.917078
0.000158517,0.877309,,0.000158517,-0.612808
0.000161642,0.994187,,0.000161642,-0.215176
0.000164767,0.95971,,0.000164767,0.215457
0.000167892,0.779126,,0.000167892,0.613619
0.000171017,0.479927,,0.000171017,0.918533
0.000174142,0.107663,,0.000174142,1.08354
0.000177267,-0.280991,,0.000177267,1.08358
0.000180392,-0.626867,,0.000180392,0.918903
0.000183517,-0.877309,,0.000183517,0.614761
0.000186642,-0.994187,,0.000186642,0.217337
0.000189767,-0.95971,,0.000189767,-0.213121
0.000192892,-0.779126,,0.000192892,-0.611259
0.000196017,-0.479927,,0.000196017,-0.916326
0.000199142,-0.107663,,0.000199142,-1.08153
0.000202267,0.280991,,0.000202267,-1.08173
0.000205392,0.626867,,0.000205392,-0.917082
0.000208517,0.877309,,0.000208517,-0.61281
0.000211642,0.994187,,0.000211642,-0.215177
0.000214767,0.95971,,0.000214767,0.215456
0.000217892,0.779126,,0.000217892,0.613619
0.000221017,0.479927,,0.000221017,0.918534
0.000224142,0.107663,,0.000224142,1.08354
0.000227267,-0.280991,,0.000227267,1.08358
0.000230392,-0.626867,,0.000230392,0.918904
0.000233517,-0.877309,,0.000233517,0.614762
0.000236642,-0.994187,,0.000236642,0.217337
0.000239767,-0.95971,,0.000239767,-0.213121
0.000242892,-0.779126,,0.000242892,-0.611259
0.000246017,-0.479927,,0.000246017,-0.916326
0.000249142,-0.107663,,0.000249142,-1.08153
0.000252267,0.280991,,0.000252267,-1.08173
0.000255392,0.626867,,0.000255392,-0.917082
0.000258517,0.877309,,0.000258517,-0.61281
0.000261642,0.994187,,0.000261642,-0.215177
0.000264767,0.95971,,0.000264767,0.215456
0.000267892,0.779126,,0.000267892,0.613619
0.000271017,0.479927,,0.000271017,0.918534
0.000274142,0.107663,,0.000274142,1.08354
0.000277267,-0.280991,,0.000277267,1.08358
0.000280392,-0.626867,,0.000280392,0.918904
0.000283517,-0.877309,,0.000283517,0.614762
0.000286642,-0.994187,,0.000286642,0.217337
0.000289767,-0.95971,,0.000289767,-0.213121
0.000292892,-0.779126,,0.000292892,-0.611259
0.000296017,-0.479927,,0.000296017,-0.916326
0.000299142,-0.107663,,0.000299142,-1.08153
0.000302267,0.280991,,0.000302267,-1.08173
0.000305392,0.626867,,0.000305392,-0.917082
0.000308517,0.877309,,0.000308517,-0.61281
0.000311642,0.994187,,0.000311642,-0.215177
0.000314767,0.95971,,0.000314767,0.215456
0.000317892,0.779126,,0.000317892,0.613619
0.000321017,0.479927,,0.000321017,0.918534
0.000324142,0.107663,,0.000324142,1.08354
0.000327267,-0.280991,,0.000327267,1.08358
0.000330392,-0.626867,,0.000330392,0.918904
0.000333517,-0.877309,,0.000333517,0.614762
0.000336642,-0.994187,,0.000336642,0.217337
0.000339767,-0.95971,,0.000339767,-0.213121
0.000342892,-0.779126,,0.000342892,-0.611259
0.000346017,-0.479927,,0.000346017,-0.916326
0.000349142,-0.107663,,0.000349142,-1.08153
0.000352267,0.280991,,0.000352267,-1.08173
0.000355392,0.626867,,0.000355392,-0.917082
0.000358517,0.877309,,0.000358517,-0.61281
0.000361642,0.994187,,0.000361642,-0.215178
0.000364767,0.95971,,0.000364767,0.215456
0.000367892,0.779126,,0.000367892,0.613619
0.000371017,0.479927,,0.000371017,0.918534
0.000374142,0.107663,,0.000374142,1.08354
0.000377267,-0.280991,,0.000377267,1.08358
0.000380392,-0.626867,,0.000380392,0.918904
